Company Name,Industry,Revenue (USD),Employees,City,State,Founded Year
Fusion Labs 1,Telecommunications,4412036869.17,31818,Chicago,TX,1999
GoldLeaf Financial 2,Logistics,5654898299.84,24981,Mumbai,AU,1974
Harmony Health 3,Telecommunications,34639931.98,53618,New York,NY,1962
Streamline Logistics 4,Healthcare,3158111892.65,48705,Atlanta,TX,1986
Dynamic Systems 5,Logistics,9901478536.1,47564,Seattle,MA,2022
Pinnacle Ventures 6,Logistics,2487992602.06,44608,Portland,MA,1980
Nexus Innovations 7,Manufacturing,3124792858.15,10997,Denver,GA,1981
BlueSky Software 8,Healthcare,9959893161.87,50993,Paris,FL,1962
Apex Robotics 9,Education,8290048204.23,35463,Dubai,MA,1962
Streamline Logistics 10,Finance,1598178311.88,36511,Boston,OR,1963
Global Innovations Ltd. 11,Consulting,4153784272.12,31882,Dubai,FL,1971
Quantum Analytics 12,Retail,6826634206.93,75527,Mumbai,AE,1997
Pinnacle Ventures 13,Healthcare,8834761677.51,63574,Mumbai,CA,1997
Visionary Tech 14,Hospitality,1642724981.76,51226,Dallas,OR,1950
Precision Engineering 15,Finance,4267647042.63,56335,Austin,FL,2002
Zenith Holdings 16,Healthcare,8673273782.26,39637,Sydney,WA,1972
Swift Manufacturing 17,Manufacturing,5000266184.17,3348,Miami,FR,1972
BlueSky Software 18,Hospitality,8831713134.66,84784,Chicago,GA,2016
Quantum Analytics 19,Hospitality,8203060961.7,42161,Denver,AU,1985
Global Innovations Ltd. 20,Healthcare,9681682530.42,83887,Miami,FR,1963
Tech Solutions Inc. 21,Logistics,9733401113.17,75376,London,TX,1986
Tech Solutions Inc. 22,Healthcare,739311403.11,84741,Austin,FR,1960
Infinite Reach 23,Energy,1958998730.11,6189,Seattle,DE,1979
Pinnacle Ventures 24,Healthcare,1534163762.69,95969,Austin,WA,1952
Alpha Corp 25,Retail,4370428883.91,16506,Mumbai,IL,2015
Evergreen Enterprises 26,Telecommunications,5913330607.78,70341,San Francisco,TX,1994
Global Innovations Ltd. 27,Retail,847003336.8,68334,Austin,TX,2002
Alpha Corp 28,Biotechnology,7845386836.38,25655,Boston,FR,1991
Dynamic Systems 29,Education,223867135.06,31644,Miami,TX,1999
Dynamic Systems 30,Consulting,1345624562.53,35953,Mumbai,DE,2022
Streamline Logistics 31,Biotechnology,8614926117.74,26211,Dallas,DE,1966
Pinnacle Ventures 32,Finance,4218470070.9,31884,Sydney,UK,1951
Apex Robotics 33,Consulting,7780791792.13,86636,Denver,MA,1964
BlueSky Software 34,Automotive,6517473447.9,21454,Paris,OR,1953
Precision Engineering 35,Technology,3862298649.62,14348,Los Angeles,TX,1964
Nexus Innovations 36,Consulting,1862050748.47,21988,London,DE,1998
Infinite Reach 37,Aerospace,5384174660.21,14974,Mumbai,FL,1976
GoldLeaf Financial 38,Education,2836086790.98,27860,Boston,FR,2022
Fusion Labs 39,Energy,1743402753.54,18272,Boston,FL,1974
Streamline Logistics 40,Hospitality,9119616832.55,54197,Tokyo,AU,1959
GoldLeaf Financial 41,Telecommunications,45988228.57,812,Chicago,AU,1956
Apex Robotics 42,Manufacturing,6055777968.3,39416,Dubai,TX,1968
Pinnacle Ventures 43,Consulting,3400906252.55,91471,Portland,NY,1960
Infinite Reach 44,Consulting,1791540084.24,896,Boston,IN,2012
Visionary Tech 45,Logistics,9501686397.79,94540,Mumbai,GA,1996
Infinite Reach 46,Aerospace,9149152335.38,79355,New York,CO,2022
Dynamic Systems 47,Hospitality,1898674873.07,43892,Mumbai,DE,1969
Swift Manufacturing 48,Energy,401308856.06,72236,Sydney,CO,1952
Precision Engineering 49,Retail,6786426935.52,58996,Tokyo,WA,1975
BlueSky Software 50,Telecommunications,1082262159.38,840,Atlanta,FR,1985
Apex Robotics 51,Consulting,8770513050.63,68507,Boston,FL,1954
Nexus Innovations 52,Technology,6571802697.74,33611,Paris,JP,2006
Infinite Reach 53,Technology,8254983692.42,49443,Miami,FR,1968
Infinite Reach 54,Technology,8300160978.06,32587,New York,TX,1983
Quantum Analytics 55,Biotechnology,1687638626.84,73741,Denver,NY,1992
Fusion Labs 56,Automotive,174545919.07,17226,Tokyo,AU,1996
BrightSpark Co. 57,Manufacturing,5224800063.71,16016,Berlin,IN,1994
Infinite Reach 58,Retail,2092461409.86,13668,San Francisco,NY,1973
Quantum Analytics 59,Hospitality,6214547756.99,85356,Berlin,IN,2017
Dynamic Systems 60,Education,4920340373.13,11367,London,TX,1981
Streamline Logistics 61,Hospitality,705468850.69,95133,Portland,TX,1994
Apex Robotics 62,Hospitality,4577190658.82,59131,Atlanta,OR,1994
Harmony Health 63,Energy,3656931790.87,45588,Tokyo,IL,2012
Apex Robotics 64,Biotechnology,4621515983.74,54622,Paris,GA,2016
BrightSpark Co. 65,Manufacturing,1097665416.82,34320,Dallas,IN,1977
Fusion Labs 66,Biotechnology,522415998.79,33067,Miami,DE,2012
Dynamic Systems 67,Education,4428635610.86,9812,Dubai,AE,2009
Nexus Innovations 68,Logistics,8132349482.44,60687,Austin,NY,1988
Dynamic Systems 69,Telecommunications,1075426942.65,10861,Chicago,AE,2020
Alpha Corp 70,Consulting,7389390048.81,15210,Denver,FR,1994
GoldLeaf Financial 71,Biotechnology,485015017.37,68195,Atlanta,IL,2002
Infinite Reach 72,Retail,4399368608.64,14915,Los Angeles,MA,2012
Dynamic Systems 73,Manufacturing,4769794922.49,77215,New York,IN,1957
Nexus Innovations 74,Technology,975125583.82,40910,Paris,JP,2010
GoldLeaf Financial 75,Retail,8723470638.65,94718,Dubai,WA,1998
Global Innovations Ltd. 76,Automotive,5348411792.38,97493,Mumbai,FL,2015
Harmony Health 77,Finance,9532789478.0,46288,Dallas,TX,1982
Alpha Corp 78,Healthcare,6536903890.95,93941,Denver,AU,2003
GoldLeaf Financial 79,Finance,6308824284.88,1130,Dubai,FR,2009
Precision Engineering 80,Logistics,6222195050.43,70231,Tokyo,OR,2016
Streamline Logistics 81,Retail,8421917952.06,64403,London,GA,2017
Zenith Holdings 82,Education,8864263310.7,16241,Mumbai,TX,2007
BrightSpark Co. 83,Biotechnology,6255170904.89,80283,Berlin,DE,2016
Visionary Tech 84,Manufacturing,4046217195.16,52862,Mumbai,UK,2005
Dynamic Systems 85,Hospitality,8290970800.09,41825,New York,OR,1982
Pinnacle Ventures 86,Retail,966751696.64,33469,Austin,CO,1997
Precision Engineering 87,Technology,5971423276.83,22271,Denver,WA,2005
Evergreen Enterprises 88,Hospitality,3955531677.4,53925,Portland,AU,2014
Pinnacle Ventures 89,Aerospace,2232322822.19,90090,London,CO,2017
Nexus Innovations 90,Healthcare,4022977909.62,34186,Sydney,AE,1980
Precision Engineering 91,Healthcare,2700265118.32,18113,Miami,JP,1952
Fusion Labs 92,Finance,3812871340.15,43961,London,CO,1951
Precision Engineering 93,Logistics,3278087534.18,87449,Miami,CO,1971
Harmony Health 94,Finance,7589925191.93,15775,San Francisco,IL,2011
Harmony Health 95,Education,1586621745.05,96996,Sydney,FR,1991
Infinite Reach 96,Hospitality,9913543471.06,2923,Miami,FR,2009
Harmony Health 97,Education,6784546390.62,39799,Dubai,TX,1980
Nexus Innovations 98,Logistics,6806026289.87,64756,Seattle,TX,2013
Evergreen Enterprises 99,Logistics,6001910441.46,97623,San Francisco,MA,1958
Evergreen Enterprises 100,Energy,2558216142.93,2511,Atlanta,AE,1991
